1;Боровичи кирпич рядовой полнотелый с фаской ;Боровичский комбинат строительных материалов;18
2;Сокол Кирпич рядовой строительный полнотелый М 150;;14,5
3;Рябово кирпич рядовой одинарный  полнотелый М-250;;20
4;Кирпич керамический пустотелый лицевой Коричневый Воротынск 1 НФ;Воротынский кирпич;21,5
5;Кирпич керамический пустотелый лицевой Солома Воротынск 1 НФ;;20
6;Кирпич керамический пустотелый лицевой Красный Воротынск 1 НФ;Воротынский кирпич;13
7;Кирпич керамический пустотелый лицевой Персик Воротынск 1 НФ;Воротынский кирпич;18
8;Кирпич керамический пустотелый лицевой Терракот Воротынск 1 НФ;Воротынский кирпич;22
9;Кирпич керамический пустотелый лицевой Терракот Воротынск 1,4  НФ;Воротынский кирпич;28,5
10;Кирпич керамический пустотелый лицевой Красный Воротынск 1,4  НФ;Воротынский кирпич;18,2
11;Гжельский кирпич  одинарный полнотелый М-300;Гжельский КЗ;48
12;Вологда кирпич рядовой строительный полнотелый М 150;Вологодский кирпичный завод;12
13;Новгород Кирпич рядовой строительный полнотелый М 150;Новгородский кирпичный завод;14,5
14;Кирпич огнеупорный Боровичи ШБ 8 ;Боровичский комбинат огнеупоров;43
15;Камень керамический пустотелый 2,1 НФ Глинвич;КЗ Глинвич;17
16;Кирпич керамический пустотелый рядовой полуторный 1,4 НФ Глинвич;КЗ Глинвич;14,5
17;Боровичи кирпич силикатный полуторный;Боровичский силикатный;11,6
18;Кирпич керамический пустотелый лицевой Солома Голицыно 1НФ;Голицынский КЗ;19,8
19;Кирпич огнеупорный Боровичи ШБ 48;Боровичский комбинат огнеупоров;42
20;Кирпич керамический пустотелый лицевой Абрикос Голицыно 1 НФ;Голицынский КЗ;18,5
21;Кирпич керамический пустотелый лицевой Абрикос Голицыно 1,4 НФ;Голицынский КЗ;23,1
22;Кирпич керамический пустотелый лицевой Абрикос Голицыно ИК-2;Голицынский КЗ;13,8
23;Кирпич керамический пустотелый лицевой Абрикос Голицыно Евро;Голицынский КЗ;15,7
24;Кирпич керамический пустотелый лицевой Абрикос Береста Голицыно 1 НФ;Голицынский КЗ;0
25;Кирпич керамический пустотелый лицевой Абрикос ФЛ-1 Голицыно;Голицынский КЗ;0
26;Кирпич керамический пустотелый лицевой Абрикос ФЛ-2 Голицыно;Голицынский КЗ;0
27;Кирпич керамический пустотелый лицевой Абрикос ФЛ-10 Голицыно;Голицынский КЗ;0
28;Кирпич керамический пустотелый лицевой Абрикос ФЛ-11 Голицыно;Голицынский КЗ;0
29;Кирпич керамический пустотелый лицевой Абрикос ФЛ-12 Голицыно;Голицынский КЗ;24,5
30;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно ИК-2;Голицынский КЗ;17,5
31;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно Евро;Голицынский КЗ;20,9
32;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно  1 НФ;Голицынский КЗ;22,4
33;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно  1,4 НФ;Голицынский КЗ;28,9
34;Кирпич керамический пустотелый лицевой Слоновая кость Береста Голицыно  1 НФ;Голицынский КЗ;28,7
35;Кирпич керамический пустотелый лицевой Слоновая кость  Голицыно  ФЛ-1;Голицынский КЗ;0
36;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно ФЛ-2;Голицынский КЗ;0
37;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно ФЛ-10;Голицынский КЗ;0
38;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно ФЛ-11;Голицынский КЗ;0
39;Кирпич керамический пустотелый лицевой Слоновая кость Голицыно ФЛ-12;Голицынский КЗ;0
40;Кирпич керамический пустотелый лицевой Слоновая кость Пробка  Голицыно 1НФ;Голицынский КЗ;0
41;Кирпич керамический пустотелый лицевой Терракот Голицыно ИК-2;Голицынский КЗ;16,2
42;Кирпич керамический пустотелый лицевой Терракот Голицыно Евро;Голицынский КЗ;17,2
43;Кирпич керамический пустотелый лицевой Терракот Голицыно 1 НФ;Голицынский КЗ;20,4
44;Кирпич керамический пустотелый лицевой Терракот Голицыно 1,4 НФ;Голицынский КЗ;26,9
45;Кирпич керамический пустотелый лицевой Терракот Береста Голицыно 1 НФ;Голицынский КЗ;0
46;Кирпич керамический пустотелый лицевой Терракот Руст Голицыно 1 НФ;Голицынский КЗ;0
47;Кирпич керамический пустотелый лицевой Терракот Голицыно ФЛ-1;Голицынский КЗ;0
48;Кирпич керамический пустотелый лицевой Терракот Голицыно ФЛ-2;Голицынский КЗ;0
49;Кирпич керамический пустотелый лицевой Терракот Голицыно ФЛ-10;Голицынский КЗ;0
50;Кирпич керамический пустотелый лицевой Терракот Голицыно ФЛ-11;Голицынский КЗ;0
51;Кирпич керамический пустотелый лицевой Терракот Голицыно ФЛ-12;Голицынский КЗ;0
52;Кирпич керамический пустотелый лицевой Корица Голицыно 1 НФ;Голицынский КЗ;18,5
53;Кирпич керамический пустотелый лицевой Солома Голицыно ИК-2;Голицынский КЗ;0
54;Кирпич керамический пустотелый лицевой Солома Голицыно Евро;Голицынский КЗ;0
55;Кирпич керамический пустотелый лицевой Солома Голицыно 1,4НФ;Голицынский КЗ;25,9
56;Кирпич керамический пустотелый лицевой Солома Береста Голицыно 1 НФ;Голицынский КЗ;0
57;Кирпич керамический пустотелый лицевой Солома Голицыно ФЛ-1;Голицынский КЗ;0
58;Кирпич керамический пустотелый лицевой Солома Голицыно ФЛ-2;Голицынский КЗ;0
59;Кирпич керамический пустотелый лицевой Солома Голицыно ФЛ-11;Голицынский КЗ;0
60;Кирпич керамический пустотелый лицевой Солома Голицыно ФЛ-12;Голицынский КЗ;0
61;Кирпич керамический пустотелый лицевой Темный терракот  Голицыно ИК-2;Голицынский КЗ;18,7
62;Кирпич керамический пустотелый лицевой Темный терракот Голицыно Евро;Голицынский КЗ;20,5
